Country/Territory,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
World,"109,529,216",2024,"105,435,540",2023,"100,834,796",2022
United States,"28,781,083",2024,"27,360,935",2023,"25,744,100",2022
China,"18,532,633",2024,"17,794,782",2023,"17,963,170",2022
Germany,"4,591,100",2024,"4,456,081",2023,"4,076,923",2022
Japan,"4,110,452",2024,"4,212,945",2023,"4,232,173",2022
India,"3,937,011",2024,"3,549,919",2023,"3,465,541",2022
United Kingdom,"3,495,261",2024,"3,340,032",2023,"3,089,072",2022
France,"3,130,014",2024,"3,030,904",2023,"2,775,316",2022
Brazil,"2,331,391",2024,"2,173,666",2023,"1,920,095",2022
Italy,"2,328,028",2024,"2,254,851",2023,"2,046,952",2022
Canada,"2,242,182",2024,"2,140,086",2023,"2,137,939",2022
Russia,"2,056,844",2024,"2,021,421",2023,"2,240,422",2022
Mexico,"2,017,025",2024,"1,788,887",2023,"1,463,323",2022
Australia,"1,790,348",2024,"1,723,827",2023,"1,776,577",2022
South Korea,"1,760,947",2024,"1,712,793",2023,"1,673,916",2022
Spain,"1,647,114",2024,"1,580,695",2023,"1,415,874",2022
Indonesia,"1,475,690",2024,"1,371,171",2023,"1,319,100",2022
Netherlands,"1,142,513",2024,"1,118,125",2023,"1,008,027",2022
Turkey,"1,113,561",2024,"1,108,022",2023,"907,118",2022
Saudi Arabia,"1,106,015",2024,"1,067,583",2023,"1,108,148",2022
Switzerland,"938,458",2024,"884,940",2023,"818,426",2022
Poland,"844,623",2024,"811,229",2023,"688,125",2022
Taiwan,"802,958",2024,—,—,—,—
Belgium,"655,192",2024,"632,217",2023,"582,643",2022
Sweden,"623,048",2024,"593,268",2023,"591,188",2022
Argentina,"604,260",2024,"640,591",2023,"631,133",2022
Ireland,"564,020",2024,"545,629",2023,"532,415",2022
Thailand,"548,890",2024,"514,945",2023,"495,340",2022
Austria,"540,887",2024,"516,034",2023,"470,302",2022
Israel,"530,664",2024,"509,902",2023,"525,002",2022
United Arab Emirates,"527,796",2024,"504,173",2023,"507,063",2022
Norway,"526,951",2024,"485,513",2023,"579,422",2022
Singapore,"525,228",2024,"501,428",2023,"466,788",2022
Philippines,"471,516",2024,"437,146",2023,"404,284",2022
Vietnam,"465,814",2024,"429,717",2023,"408,802",2022
Iran,"464,181",2024,"401,505",2023,"398,047",2022
Bangladesh,"455,162",2024,"437,415",2023,"432,677",2022
Malaysia,"445,519",2024,"399,649",2023,"406,305",2022
Denmark,"409,989",2024,"404,199",2023,"400,167",2022
Hong Kong,"406,775",2024,"382,055",2023,"359,838",2022
Colombia,"386,076",2024,"363,540",2023,"343,939",2022
South Africa,"373,233",2024,"377,782",2023,"405,270",2022
Romania,"369,971",2024,"351,003",2023,"300,690",2022
Egypt,"347,594",2024,"395,926",2023,"409,306",2022
Pakistan,"338,237",2023,"338,368",2023,"326,796",2022
Chile,"333,760",2024,"335,533",2023,"300,686",2022
Czech Republic,"325,880",2024,"330,858",2023,"290,527",2022
Finland,"308,055",2024,"300,187",2023,"282,511",2022
Portugal,"298,949",2024,"287,080",2023,"254,849",2022
Kazakhstan,"296,740",2024,"261,421",2023,"225,496",2022
Peru,"282,458",2024,"267,603",2023,"242,631",2022
Algeria,"266,780",2024,"239,899",2023,"191,912",2022
Iraq,"265,894",2024,"250,843",2023,"264,182",2022
New Zealand,"257,625",2024,"253,466",2023,"245,845",2022
Nigeria,"252,738",2024,"362,815",2023,"475,058",2022
Greece,"250,276",2024,"238,206",2023,"217,285",2022
Qatar,"244,686",2024,"235,770",2022,"237,101",2022
Hungary,"223,413",2024,"212,389",2023,"177,337",2022
Ethiopia,"205,130",2024,"163,698",2023,"118,971",2022
Ukraine,"188,943",2024,"178,757",2023,"160,502",2022
Kuwait,"160,397",2024,"161,772",2023,"175,363",2022
Morocco,"152,377",2024,"141,109",2023,"130,912",2022
Cuba,—,—,—,—,"147,193",2022
Slovakia,"140,808",2024,"132,794",2023,"115,304",2022
Dominican Republic,"127,356",2024,"121,444",2023,"113,537",2022
Ecuador,"121,592",2024,"118,845",2023,"115,049",2022
Puerto Rico,"117,763",2024,"117,902",2023,"113,434",2022
Guatemala,"110,035",2024,"102,050",2023,"95,003",2022
Oman,"108,927",2024,"108,192",2023,"114,666",2022
Bulgaria,"107,933",2024,"101,584",2023,"90,213",2022
Kenya,"104,001",2024,"107,441",2023,"113,419",2022
Venezuela,"102,328",2024,—,—,"129,313",2022
Uzbekistan,"97,956",2024,"90,889",2023,"80,391",2022
Costa Rica,"96,058",2024,"86,498",2023,"68,380",2022
Angola,"92,123",2024,"84,773",2023,"113,304",2022
Luxembourg,"88,556",2024,"85,755",2023,"81,530",2022
Croatia,"88,076",2024,"82,689",2023,"71,552",2022
Panama,"87,347",2024,"83,382",2023,"76,522",2022
Ivory Coast,"86,911",2024,"78,789",2023,"70,018",2022
Uruguay,"82,605",2024,"77,241",2023,"71,171",2022
Turkmenistan,"81,896",2024,"59,887",2023,"67,009",2022
Serbia,"81,873",2024,"75,187",2023,"63,563",2022
Lithuania,"81,170",2024,"77,836",2023,"70,878",2022
Tanzania,"79,605",2024,"79,158",2023,"73,535",2022
Azerbaijan,"78,749",2024,"72,356",2023,"78,721",2022
